"idx","long.name","short.name","lobe","lobe.id"
2,"Superior Frontal Gyrus","SupFG","Frontal","fro"
5,"Middle Frontal Gyrus","MidFG","Frontal","fro"
7,"Inferior Frontal Gyrus","InfFG","Frontal","fro"
6,"Orbital Gyrus","OrbitG","Frontal","fro"
4,"Rectal Gyrus","RectG","Frontal","fro"
3,"Subcallosal Gyrus","SubcallG","Frontal","fro"
1,"Medial Frontal Gyrus","MedFG","Frontal","fro"
32,"Precentral Gyrus","PreCG","Frontal","fro"
16,"Postcentral Gyrus","PostCG","Parietal","par"
25,"Superior Parietal Lobule","SupParL","Parietal","par"
22,"Inferior Parietal Lobule","InfParL","Parietal","par"
23,"Supramarginal Gyrus","SupraMG","Parietal","par"
27,"Angular Gyrus","AngularG","Parietal","par"
17,"Paracentral Lobule","ParaCL","Parietal","par"
24,"Precuneus","PreCun","Parietal","par"
33,"Anterior Cingulate","AntCG","Limbic","limb"
9,"Cingulate Gyrus","CyngG","Limbic","limb"
21,"Posterior Cingulate","PostCing","Limbic","limb"
12,"Parahippocampal Gyrus","ParaHG","Limbic","limb"
11,"Uncus","Uncus","Limbic","limb"
10,"Insula","Insula","Sub-lobar","slob"
8,"Extra-Nuclear","ExtNunc","Sub-lobar","slob"
15,"Transverse Temporal Gyrus","TransTG","Temporal","temp"
14,"Superior Temporal Gyrus","SupTG","Temporal","temp"
13,"Sub-Gyral","SubGyral","Temporal","temp"
19,"Middle Temporal Gyrus","MidTG","Temporal","temp"
18,"Inferior Temporal Gyrus","ImfTG","Temporal","temp"
20,"Fusiform Gyrus","FusG","Temporal","temp"
26,"Lingual Gyrus","LingualG","Occiptal","occ"
28,"Cuneus","Cuneus","Occiptal","occ"
31,"Superior Occipital Gyrus","SupOG","Occiptal","occ"
29,"Middle Occipital Gyrus","MidOG","Occiptal","occ"
30,"Inferior Occipital Gyrus","IinfOG","Occiptal","occ"
